time;x;y;z
2024-12-19T16:38:35Z;-26.3114;1.214994;5.519479
2024-12-19T16:38:37Z;-26.29607;1.229214;5.531067
2024-12-19T16:38:38Z;-26.15706;1.296322;5.526584
2024-12-19T16:38:39Z;-26.26475;1.312456;5.549829
2024-12-19T16:38:40Z;-26.5216;1.23363;5.552205
2024-12-19T16:38:42Z;-26.22241;1.20479;5.549263
2024-12-19T16:38:43Z;-26.16059;1.449511;5.587179
2024-12-19T16:38:45Z;-26.17965;1.517228;5.662528
2024-12-19T16:38:46Z;-26.58441;1.433328;5.637136
2024-12-19T16:38:47Z;-26.53603;1.212579;5.638596
2024-12-19T16:38:48Z;-26.03299;1.2106;5.596327
2024-12-19T16:38:49Z;-26.09163;1.510049;5.649546
2024-12-19T16:38:50Z;-26.59746;1.350647;5.655839
2024-12-19T16:38:51Z;-26.18594;1.200557;5.64964
2024-12-19T16:38:52Z;-26.22655;1.212244;5.626737
2024-12-19T16:38:53Z;-26.31676;1.442472;5.655838
2024-12-19T16:38:54Z;-26.40946;2.038744;5.523242
2024-12-19T16:38:55Z;-26.41219;1.878935;5.593751
2024-12-19T16:38:56Z;-26.38349;1.305858;5.621558
2024-12-19T16:38:57Z;-26.34347;1.614856;5.652321
2024-12-19T16:38:59Z;-26.39827;2.006599;5.556565
2024-12-19T16:39:00Z;-26.208;2.014443;5.523015
2024-12-19T16:39:01Z;-26.31219;2.001442;5.560923
2024-12-19T16:39:02Z;-25.97164;1.983969;5.487701
2024-12-19T16:39:03Z;-25.88949;1.841305;5.585217
2024-12-19T16:39:04Z;-25.9556;1.937195;5.507413
2024-12-19T16:39:05Z;-25.9291;1.84774;5.591854
2024-12-19T16:39:06Z;-25.77143;1.602862;5.62032
2024-12-19T16:39:07Z;-25.98531;1.658442;5.724551
2024-12-19T16:39:08Z;-25.99042;1.852384;5.597097
2024-12-19T16:39:10Z;-25.88726;1.674176;5.668663
2024-12-19T16:39:11Z;-25.8699;1.311934;5.60754
2024-12-19T16:39:12Z;-25.8884;1.569515;5.581074
2024-12-19T16:39:13Z;-25.87551;1.360246;5.621518
2024-12-19T16:39:14Z;-25.93025;1.678376;5.585868
2024-12-19T16:39:15Z;-25.83263;1.657481;5.543029
2024-12-19T16:39:16Z;-26.13687;1.542558;5.747166
2024-12-19T16:39:17Z;-25.92422;1.675964;5.632917
2024-12-19T16:39:18Z;-25.90443;1.459696;5.652016
2024-12-19T16:39:19Z;-26.01229;1.322242;5.70363
2024-12-19T16:39:20Z;-25.85641;1.440565;5.617639
2024-12-19T16:39:21Z;-25.89657;1.496995;5.630926
2024-12-19T16:39:23Z;-25.90363;1.492107;5.638664
