time;x;y;z
2024-12-22T15:06:50Z;-28.63254;1.137874;10.18916
2024-12-22T15:06:51Z;-28.63872;1.186302;10.19375
2024-12-22T15:06:52Z;-28.65304;1.465718;10.19117
2024-12-22T15:06:53Z;-28.66379;1.62512;10.14328
2024-12-22T15:06:54Z;-28.65722;1.823298;10.0783
2024-12-22T15:06:55Z;-28.51756;1.844517;10.12412
2024-12-22T15:06:56Z;-28.37838;1.843006;10.15602
2024-12-22T15:06:57Z;-28.37848;1.596167;10.1864
2024-12-22T15:06:58Z;-28.60822;1.506745;10.18108
2024-12-22T15:06:59Z;-28.61113;1.50784;10.18384
2024-12-22T15:07:00Z;-28.4335;1.484718;10.24756
2024-12-22T15:07:01Z;-28.4108;1.226554;10.2954
2024-12-22T15:07:02Z;-28.67317;1.164939;10.22072
2024-12-22T15:07:03Z;-28.63896;1.671474;10.12959
2024-12-22T15:07:04Z;-28.65818;1.300466;10.21654
2024-12-22T15:07:05Z;-28.64415;1.196203;10.2266
2024-12-22T15:07:06Z;-28.64602;1.188071;10.22167
2024-12-22T15:07:07Z;-27.85915;1.190889;11.55242
2024-12-22T15:07:08Z;-27.80552;1.19461;11.57047
2024-12-22T15:07:09Z;-27.57985;1.219942;11.6326
2024-12-22T15:07:11Z;-27.80219;1.182739;11.57255
2024-12-22T15:07:12Z;-27.83017;1.181972;11.56002
2024-12-22T15:07:13Z;-27.82086;1.59194;11.50321
2024-12-22T15:07:14Z;-27.82051;1.6642;11.4679
2024-12-22T15:07:15Z;-27.81408;1.786325;11.41339
2024-12-22T15:07:16Z;-27.61876;1.812176;11.47345
2024-12-22T15:07:17Z;-27.58451;1.820745;11.47762
2024-12-22T15:07:18Z;-27.81992;1.757674;11.46967
2024-12-22T15:07:19Z;-27.82869;1.48944;11.53195
2024-12-22T15:07:20Z;-27.51875;1.531749;11.60133
2024-12-22T15:07:21Z;-27.84864;1.47963;11.56776
2024-12-22T15:07:24Z;-27.83111;1.147904;11.53585
2024-12-22T15:07:26Z;-27.82955;1.130803;11.53128
2024-12-22T15:07:27Z;-27.53496;1.122741;12.05527
2024-12-22T15:07:28Z;-26.56571;1.120531;13.83216
2024-12-22T15:07:29Z;-26.3963;1.115199;14.23895
2024-12-22T15:07:30Z;-26.39416;1.230168;14.25011
2024-12-22T15:07:31Z;-26.37247;1.775216;14.17806
2024-12-22T15:07:32Z;-26.32945;1.667208;14.16975
2024-12-22T15:07:33Z;-26.12297;1.227827;14.28221
2024-12-22T15:07:34Z;-26.23656;1.200986;14.26517
2024-12-22T15:07:35Z;-26.32069;1.718187;14.23364
2024-12-22T15:07:36Z;-26.02271;1.499514;14.26028
2024-12-22T15:07:37Z;-25.81772;1.246996;14.24666
2024-12-22T15:07:38Z;-25.99649;1.87919;14.03309
2024-12-22T15:07:39Z;-25.94721;1.723883;14.09602
2024-12-22T15:07:40Z;-25.89247;1.219197;14.16791
2024-12-22T15:07:41Z;-24.79993;1.205373;15.02287
2024-12-22T15:07:42Z;-24.4648;1.199069;15.2884
2024-12-22T15:07:43Z;-24.39493;1.198157;15.2464
2024-12-22T15:07:44Z;-24.37093;1.439823;15.21179
2024-12-22T15:07:45Z;-24.21607;1.240196;15.1288
2024-12-22T15:07:46Z;-24.26369;1.725514;15.04568
2024-12-22T15:07:48Z;-24.57485;1.851635;15.17582
2024-12-22T15:07:50Z;-24.28716;1.817562;14.97461
2024-12-22T15:07:51Z;-24.2666;1.792914;14.9737
2024-12-22T15:07:52Z;-24.35515;1.298096;15.091
2024-12-22T15:07:53Z;-24.43139;1.151371;15.14966
