time;x;y;z
2024-12-19T16:20:05Z;-23.34573;2.746469;6.154647
2024-12-19T16:20:06Z;-23.31455;2.946021;6.159905
2024-12-19T16:20:07Z;-23.27302;3.204295;6.132938
2024-12-19T16:20:08Z;-23.32629;3.248443;6.082586
2024-12-19T16:20:09Z;-23.51271;3.218568;6.024496
2024-12-19T16:20:10Z;-23.53182;3.21441;6.042006
2024-12-19T16:20:11Z;-23.28092;3.243491;6.139222
2024-12-19T16:20:12Z;-22.97447;3.268543;6.196869
2024-12-19T16:20:13Z;-23.12997;3.24752;6.156636
2024-12-19T16:20:14Z;-23.27237;3.213367;6.147689
2024-12-19T16:20:15Z;-23.24823;3.054453;6.159666
2024-12-19T16:20:16Z;-23.26348;2.762276;6.138177
2024-12-19T16:20:17Z;-23.20983;2.652816;6.116761
2024-12-19T16:20:18Z;-22.95881;2.659441;6.179255
2024-12-19T16:20:19Z;-22.85027;2.670696;6.191489
2024-12-19T16:20:20Z;-22.8663;2.870566;6.202357
2024-12-19T16:20:21Z;-22.88569;3.096164;6.209654
2024-12-19T16:20:22Z;-22.77408;3.095964;6.237916
2024-12-19T16:20:23Z;-22.6106;3.08083;6.245025
2024-12-19T16:20:25Z;-22.58838;2.958884;6.254378
2024-12-19T16:20:26Z;-22.55802;2.74219;6.224174
2024-12-19T16:20:27Z;-22.5502;2.654919;6.215953
2024-12-19T16:20:28Z;-22.76932;2.642676;6.204469
2024-12-19T16:20:29Z;-22.73607;2.640943;6.205703
2024-12-19T16:20:30Z;-22.49257;2.677758;6.223396
2024-12-19T16:20:31Z;-22.39571;2.684402;6.217661
2024-12-19T16:20:32Z;-22.39262;2.809724;6.221932
2024-12-19T16:20:33Z;-22.39456;3.044399;6.211443
2024-12-19T16:20:34Z;-22.40003;3.187521;6.18769
2024-12-19T16:20:35Z;-22.3843;3.032779;6.225225
2024-12-19T16:20:38Z;-22.3443;2.683243;6.23657
2024-12-19T16:20:40Z;-22.23989;2.72725;6.209332
2024-12-19T16:20:41Z;-22.28705;2.975948;6.205564
2024-12-19T16:20:42Z;-22.37942;2.987532;6.242771
2024-12-19T16:20:43Z;-22.35773;2.766821;6.248653
2024-12-19T16:20:45Z;-22.21453;2.705443;6.223951
2024-12-19T16:20:47Z;-22.08727;2.746241;6.199152
2024-12-19T16:20:48Z;-22.06239;2.747989;6.188355
2024-12-19T16:20:49Z;-22.09706;3.026863;6.151347
2024-12-19T16:20:50Z;-22.11486;3.068255;6.144932
